Palabra
Muy
buenas
tardes
Señor
alcalde
Quito
Pabel
Muñoz
un
gusto
todos
nuestros
ministros
que
día
día
el
país
un
gran
saludo
todo
su
equipo
trabajo
a
todo
el
equipo
Municipio
de
Quito
Algunas
caras
conocidas
aquí
la
Asamblea
una
gran
admiración
su
equipo
trabajo
por
la
gente
que
ese
tiempo
Uno
la
vida
Gracias
a
Quito
Gracias
a
Quito
El
apoyo
que
la
ciudad
Quito
cada
uno
sus
rincones
Inclusive
los
días
campaña
Quito
el
ánimo
las
cosas
diferentes
que
un
joven
candidato
la
república
mí
Quito
mi
corazón
mi
respeto
apoyo
Quito
el
resto
país
Quito
la
paz
el
resto
la
nación
una
vez
su
atención
Agradecerles
este
detalle
Es
un
momento
alegría
Son
las
fiestas
Quito
como
la
ciudad
Muchas
gracias
