Palabra
nombre
Dios
Queridos
hermanos
y
hermanas
hoy
es
un
día
gran
felicidad
mí
la
primera
mujer
joven
este
premio
la
primera
niña
que
su
derecho
la
educación
este
momento
Dios
Su
bendición
misericordia
este
reconocimiento
un
año
algunos
la
mitad
mi
rostro
esta
enorme
dignidad
La
belleza
rostro
la
belleza
corazón
del
alma
que
la
humanidad
mis
padres
su
inquebrantable
apoyo
mi
padre
las
alas
mi
madre
la
verdad
la
verdad
mis
maestros
que
la
paz
por
la
educación
mis
queridos
hermanos
que
todos
los
días
mis
colegas
la
Fundación
Malala
y
a
todas
las
maravillosas
personas
que
han
apoyado
mi
viaje
hacia
la
paz
y
la
educación
el
derecho
cada
niño
niña
una
educación
calidad
nombre
de
los
niños
olvidados
que
una
educación
los
niños
asustados
que
paz
los
niños
voz
que
cambio
los
líderes
mundiales
sus
políticas
estratégicas
favor
de
la
paz
la
prosperidad
los
líderes
mundiales
los
derechos
las
niñas
niños
la
escuela
Un
niño
un
maestro
un
libro
una
pluma
el
mundo
La
educación
La
educación
primero
